name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
Wellcome,"Shop C7, 2/F Commercial Centre, Estate, Tai Wo Hau Rd, Tsuen Wan New Town, Hong Kong",ChIJ6yg6pZP4AzQR_rNokpOnYHY,3.6,114,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.368415,114.123814
惠康 Wellcome,"Portion of Flats A-D, G/F, Yuen Shing Bldg, 9, 11, 13, 15, 19 &, 21 Gillies Ave S, Hung Hom, Hong Kong",ChIJbSauYecABDQR7BkK69nBuDg,3.7,94,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.306573,114.1839118
Wellcome,"G/F, Hung Shuk Chun Building, Fuk Wing St, Sham Shui Po, Hong Kong",ChIJbUFrKFIHBDQRU1pMUXGNEyw,3.5,138,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3392347,114.1535275
Wellcome Supermarket,"Government Offices, Mui Wo, 2 Ngan Kwong Wan Rd, Lantau Island, Hong Kong",ChIJeQk2SitWATQRkLuiM6FNDSM,3.9,140,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2640112,114.0015092
Wellcome,"Shop 14-22, G/F., Cheong Yat Hse. Nam Cheong Est., Sham Shui Po, Kln, Hong Kong",ChIJmcAAxLEABDQR8cFuwLMIdGw,3.8,17,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3259711,114.1572588
Wellcome - Hunghom Centre,"Hunghom Commercial Centre Block A, Ma Tau Wai Rd, Hok Yuen, Hong Kong",ChIJY19J3d4ABDQRFZ5R7SPqZdY,3.7,143,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3105353,114.1878974
Wellcome - Metropole Superstore,"Portion of Basement, Metropole Building, No. 426 King's, 416 King's Rd, North Point, Hong Kong",ChIJTev_8AQBBDQRMH9aByOEEOg,3.7,248,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2907583,114.1994541
Wellcome,"Shop 213, Kwai Chung Shopping Centre, Kwai Chung Estate, Kwai Chung, Hong Kong",ChIJVZdqF5H4AzQRnSTgOM8xYfM,3.8,72,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3675591,114.1281914
Wellcome,"G/F, 39 Chung Hom Kok Rd, Chung Hom Kok, Hong Kong",ChIJc0UXq2iqBjQRddeQfPk0b8g,4.1,63,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2198074,114.2036158
Wellcome - Happy Valley,"13-19號 Sing Woo Rd, Happy Valley, Hong Kong",ChIJKzlxg04ABDQRQVbZP8r14Cc,3.8,131,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2694819,114.1857327
