,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
127,009-008,22.3815796,22.4056818,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
128,009-009,22.3815796,22.4056818,114.09411646666666,114.1258814,0,,,11,0,0,,2.79451872906159,0,0.2235614983249272,0.0,-0.2235614983249272
129,009-010,22.3815796,22.4056818,114.1258814,114.15764633333332,0,,,2,0,0,,0.5080943143748345,0,0.040647545149986766,0.0,-0.040647545149986766
130,009-011,22.3815796,22.4056818,114.15764633333332,114.18941126666668,0,,,3,1,0,,0.26529878294898346,0,0.021223902635918678,0.0,-0.021223902635918678
131,009-012,22.3815796,22.4056818,114.18941126666668,114.2211762,1,3.8,60.0,70,4,4,Sha Tin,12.289200087569128,1,0.9831360070055303,12.611537753638338,11.628401746632807
132,009-013,22.3815796,22.4056818,114.2211762,114.25294113333334,0,,,2,0,0,,0.5080943143748345,0,0.040647545149986766,0.0,-0.040647545149986766
133,009-014,22.3815796,22.4056818,114.25294113333334,114.28470606666669,0,,,22,0,0,Sai Kung Area,5.58903745812318,0,0.4471229966498544,0.0,-0.4471229966498544
134,009-015,22.3815796,22.4056818,114.28470606666669,114.316471,0,,,17,0,0,,4.318801672186094,0,0.34550413377488753,0.0,-0.34550413377488753
135,010-001,22.4056818,22.429784,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
136,010-002,22.4056818,22.429784,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
137,010-003,22.4056818,22.429784,113.90352686666668,113.9352918,0,,,1,0,0,,0.25404715718741727,0,0.020323772574993383,0.0,-0.020323772574993383
138,010-004,22.4056818,22.429784,113.9352918,113.96705673333334,0,,,6,0,1,,0.647600402850252,0,0.05180803222802016,0.0,-0.05180803222802016
139,010-005,22.4056818,22.429784,113.96705673333334,113.99882166666669,0,,,48,1,1,,10.82073831610851,0,0.8656590652886809,0.0,-0.8656590652886809
140,010-006,22.4056818,22.429784,113.99882166666669,114.0305866,0,,,11,0,0,,2.79451872906159,0,0.2235614983249272,0.0,-0.2235614983249272
141,010-007,22.4056818,22.429784,114.0305866,114.06235153333334,0,,,7,0,0,Yuen Long District,1.778330100311921,0,0.1422664080249537,0.0,-0.1422664080249537
142,010-008,22.4056818,22.429784,114.06235153333334,114.09411646666666,0,,,26,0,0,,6.605226086872849,0,0.528418086949828,0.0,-0.528418086949828
143,010-009,22.4056818,22.429784,114.09411646666666,114.1258814,0,,,9,0,0,,2.2864244146867554,0,0.18291395317494044,0.0,-0.18291395317494044
144,010-010,22.4056818,22.429784,114.1258814,114.15764633333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
145,010-011,22.4056818,22.429784,114.15764633333332,114.18941126666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
146,010-012,22.4056818,22.429784,114.18941126666668,114.2211762,0,,,31,1,0,,7.378619184196666,0,0.5902895347357333,0.0,-0.5902895347357333
147,010-013,22.4056818,22.429784,114.2211762,114.25294113333334,1,3.3,72.0,46,4,0,,9.698798476168122,1,0.7759038780934497,12.611537753638338,11.835633875544888
148,010-014,22.4056818,22.429784,114.25294113333334,114.28470606666669,0,,,13,0,0,,3.3026130434364247,0,0.264209043474914,0.0,-0.264209043474914
