name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
Wellcome,"57-61, & Lo Tak Ct, Tsuen Wan",ChIJ0c5i9e34AzQRdleFiqaR2Rg,3.6,678,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.373283,114.1155821
PARKnSHOP (荃灣象山邨),"新界葵涌象山邨象山商場313-317號, Kwai Chung",ChIJs14W7Yj4AzQRRkl_6_NiFkk,3.6,31,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3785569,114.130416
Wellcome,"G/F, No, 26-30 Wo Yi Hop Rd, Kwai Chung",ChIJ-5B442j5AzQR1WY8EluYXEI,3.5,24,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3658877,114.1369642
瀛木超級市場 INMU Shop (荃灣店),"Tsuen Wan, 千色匯I 地下G010號舖",ChIJ602_f0j5AzQRtmlS7Gn9o8U,3.3,12,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3701801,114.117526
Shun Xinglong Supermarket,Mong Kok,ChIJ--MIELgABDQRcXLhAQjo05k,5.0,1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3198555,114.1669228
PARKnSHOP Click & Collect (荃灣石圍角邨商場),"新界荃灣石圍角邨商場326-329號鋪 Shop No. 326-329, Shek Wai Kok Estate Commercial Centre, Tsuen Wan",ChIJg7P8Toz4AzQRTl5LI0dQpD0,3.1,36,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3753353,114.1241818
PARKnSHOP Click & Collect (葵芳好爵中心),"新界葵芳葵益路2-10號好爵中心地下16-37舖 Shop 16-37, G/F, Ho Chuck Centre, 2, 10 Kwai Yi Rd, Kwai Fong",ChIJtxqLUrz4AzQR_f8AgGm4QlM,3.6,397,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3571392,114.1284532
PARKnSHOP Click & Collect (葵涌祖堯邨),"Cho Yiu Chuen, 新界葵涌祖堯邨敬祖路6號D座地下3-8號舖 Shop 3-8, G/F, Block D, 6 King Cho Rd, Kwai Chung",ChIJ9VdIG7H4AzQRNrik2alcRNk,3.1,59,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3457481,114.1284405
PARKnSHOP Click & Collect (葵涌恒景商場),"新界葵涌榮芳路9號恒景商場1樓103-106號鋪 Shop 103-106, 1/F, Hang King Shopping Arcade, Hang King Garden, 9 Wing Fong Rd, Kwai Chung",ChIJc_xPSMD5AzQR3o9QMzoNbPw,3.5,76,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3604769,114.1278523
PARKnSHOP (葵涌麗瑤邨),"新界葵涌麗瑤邨麗瑤商場1-5號舖 Shop Nos 1-5, Lai Yiu Commercial Complex, Lai Yiu Estate, Kwai Chung",ChIJtRFEHEr5AzQRkR_4a5YExzA,3.4,33,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3537359,114.1314587
Wellcome,"G/F, Hung Shuk Chun Building, Fuk Wing St, Sham Shui Po",ChIJbUFrKFIHBDQRU1pMUXGNEyw,3.5,138,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3392347,114.1535275
Wellcome,"Portion of Shop Nos. 19 & 20A, 1/F, Indihome, 138 Yeung UK Rd, Tsuen Wan, NT",ChIJIT0bbOv4AzQRzntqvS135D4,3.3,23,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.366233,114.118244
Wellcome,"166-174 Hing Fong Rd, Kwai Chung",ChIJZ4reepf4AzQREE8-QS5mrT0,3.6,75,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3628959,114.1315921
Luen Cheong Supermarket,"35號 Ho Pui St, Tsuen Wan",ChIJLa2fI-z4AzQR2JoSnZyT5vU,1.9,7,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3693406,114.1145621
Wellcome,"Shop No.8, Car Park Level, Garden, 123 Yi Hong St, Riviera Gardens",ChIJt9ndAer4AzQRB_CXCMtHBwk,3.5,75,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3615359,114.1123747
Kai Bo Food Supermarket,"Tsuen Wan, Chuen Lung St, 38 - 44 號地下 B, C及D舖 Shop B, C & D, G/F, Tin Wah Bldg., 38 - 44 Chuen Lung St, Tsuen Wan Tin Wah House",ChIJVR2Zuu34AzQRAAoeRCuPqEE,3.4,165,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3711897,114.1163649
PARKnSHOP Click & Collect (大圍顯徑邨),"Hin Keng Shopping Centre, 沙田大圍車公廟道69號顯徑商場地下101-103號舖 Shop 101-103, G/F, 69 Che Kung Miu Rd",ChIJg34_bxIHBDQRPXjUbrVtpYw,3.5,226,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3633638,114.1715984
Kai Bo Food Supermarket,"Tai Kok Tsui, Tai Kok Tsui Rd, 71號71 Tai Kok Tsui Road, Tai Kok Tsui地下G/F",ChIJDZU09rkABDQRSZawVs59Ez0,3.6,39,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3204848,114.1618562
PARKnSHOP Click & Collect (荃灣海灣花園),"Waterside Plaza, 新界荃灣永順街38號海灣花園商場地下G01-06號鋪 Shop Nos. G01-06, G/F, 38 Wing Shun St, Tsuen Wan",ChIJ-bRQyIv5AzQRP8gj5Nhv5gg,3.8,74,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3643457,114.113785
wellcome,"125, Metro Harbour View Plaza, 8 Fuk Lee St, Tai Kok Tsui",ChIJfzdi4rAABDQRYsiJViBAKIs,3.7,259,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3244101,114.1604543
Wellcome,Shop No. 8-13 Centre Shopping Arcade II,ChIJG5oFc_r4AzQRIlDOXLUJHQM,3.4,42,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3791409,114.1075428
PARKnSHOP Click & Collect (深水埗蘇屋邨),"九龍深水埗蘇屋邨蘇屋商場1樓117號舖 Shop 117, 1/F, So Uk Shopping Centre, So Uk Estate, So Uk",ChIJqbMrTGIHBDQRHGRwB8B5FS4,3.7,129,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3399047,114.1572189
PARKnSHOP (青衣藍澄灣),"青衣青衣路1號藍澄灣商場L1, 3號鋪 Shop 3, Level 1, Podium of Rambler Crest, Tsing Yi",ChIJtUiEqc34AzQR9w6vWVJSPMU,3.8,42,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3438355,114.110789
Ka Hing Supermarket,"85 Shek Yam Rd, Shek Yam",ChIJk1tnuOn5AzQRvq5-H3zWhTs,3.8,95,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3697015,114.1393558
PARKnSHOP Click & Collect (葵涌石籬邨),"Shek Lei (I) Estate, 新界葵涌石籬(第一)邨石籬商埸1樓107號舖 Shop 107, 1/F, Shek Lei Shopping Centre, Kwai Chung",ChIJhVMlBpz4AzQRGwNH03kUumY,3.5,82,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3647177,114.1383969
Wellcome,"Tai Hang Tung Estate Tung Lung House, Shop 4-10, G/F",ChIJwfkC2jQHBDQRuGoPng9c9q0,3.4,92,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.331574,114.1711688
Hui Jun Supermarket,"295 Tai Nan St, Sham Shui Po",ChIJ8ZbxkbMABDQRzJCSfl9aPUo,0.0,0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.328866,114.1609612
Wellcome,Kwai Fong,ChIJ_45mDr34AzQRk9f_hNTPCCU,3.5,186,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3581237,114.1298162
Kai Bo Food Supermarket,"Mei Foo Sun Chuen, Broadway, 1-12,14-25,27,29號2及11,3及10號舖 Shop 2 & 11, 3 & 10, G/F, 1-12, 14-25, 27, 29 & 31 Broadway Mei Foo Sun Chuen, Mei Foo及31號地下",ChIJw_1_NTP_AzQRkGSGrwTcPqs,3.3,87,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3367539,114.1377394
PARKnSHOP Click & Collect (荃灣麗城花園),"麗城花園三期麗城薈街市M22至M69 Shop M22-M69, G/F, Belvedere Garden Phase, 3, Tsuen Wan",ChIJT2oQ87D5AzQRJWVkE9CKRW8,3.6,181,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3715298,114.1016586
